E-Value  Score  Seq-Id
5.1e-35  119.6  XP_458993.2
1.6e-28  98.6  XP_461110.2
2.4e-27  94.7  XP_002770899.1
1.3e-31  108.6  XP_002770395.1
1.7e-29  101.7  XP_456466.1
2.8e-24  84.8  XP_461670.1
1.1e-28  99.1  XP_460066.2
3e-32  110.6  XP_002770207.1
1.3e-30  105.3  XP_457028.2
9.4e-29  99.3  XP_002770127.1
3e-23  81.4  XP_461948.2
6.9e-30  103.0  XP_002777737.1
2.9e-24  84.7  XP_461401.1
4.6e-22  77.6  XP_002770836.1
1.6e-21  75.8  XP_456503.2
6.1e-21  73.9  XP_462188.1
3.6e-21  74.7  XP_002770140.1
6.2e-21  73.9  XP_462187.2
7.5e-38  128.8  XP_460333.2
3e-37  126.9  XP_457132.2
9.7e-17  60.3  XP_002770549.1
2.5e-17  62.2  XP_462080.1
5.9e-32  109.7  XP_457270.2
2.3e-29  101.3  XP_002770607.1
2.7e-29  101.1  XP_457846.2
2.6e-11  42.7  XP_461424.2
2e-21  75.5  XP_460368.2
1.9e-20  72.4  XP_458186.2
3.2e-20  71.6  XP_457332.2
1.9e-16  59.3  XP_460926.2
